url,initiatorType,responseEnd,startTime
"https://20765603p.rfihub.com/ca.gif",1,64,3xp
"https://bm.adentifi.com/pixel/conv/ppt=3359",1,7y,3q3
"https://bs.serving-sys.com/Serving",3,27,3m0
"https://dc.ads.linkedin.com/collect/",1,4y,3q6
"https://de-gmtdmp.mookie1.com/t/v2/activity",1,92,3qa
"https://pixel.journera.com/pixel/v1/aa",1,2m,34s
"https://pixel.sojern.com/partner/4KwIkGWLBTMV20zM/hp",3,20,34w
"https://pixel.sojern.com/partner/u92U4k5zXBaHHCr9/hp",3,30,350
"https://pixel.sojern.com/pixel/img/200728",1,2p,40h
"https://pixel.sojern.com/pixel/img/55963",1,2t,3zl
"https://pubads.g.doubleclick.net/activity",1,95,3q4
"https://secure-ds.serving-sys.com/SemiCachedScripts/ebOneTag.js",3,73,33w
"https://secure-ds.serving-sys.com/adServingData/PROD/TMClient/8/4308",5,22,3jr
"https://secure.adnxs.com/px",1,1k,3uo
"https://secure.adnxs.com/px",1,79,444
"https://secure.adnxs.com/seg",1,76,3q7
"https://smetrics.aa.com/b/ss/aaproduction/1/JS-2.9.0/s42142503993160",1,28,1sm
"https://www.aa.com/airport/countries",5,8u,2ly
"https://www.aa.com/assets/html/gdpr/sync.html",a,86,2jy
"https://www.aa.com/assets/js/modules/mobile-date-picker.min.js",3,1pb,i2
"https://www.aa.com/assets/js/webworker/handlebar-worker.min.js",0,4t,2gk
"https://www.aa.com/boomerang/plugins/BW.js",3,en,dz
"https://www.aa.com/boomerang/plugins/BW.js",3,12,36m
"https://www.aa.com/boomerang/plugins/DNS.js",3,el,dz
"https://www.aa.com/boomerang/plugins/DNS.js",3,13,36l
"https://www.aa.com/boomerang/plugins/errors.js",3,72,dy
"https://www.aa.com/boomerang/plugins/errors.js",3,12,36j
"https://www.aa.com/boomerang/plugins/guid.js",3,5v,dy
"https://www.aa.com/boomerang/plugins/guid.js",3,w,36i
"https://www.aa.com/boomerang/plugins/navtiming.js",3,5w,dx
"https://www.aa.com/boomerang/plugins/navtiming.js",3,q,36e
"https://www.aa.com/boomerang/plugins/restiming.js",3,3a,dy
"https://www.aa.com/boomerang/plugins/restiming.js",3,10,36j
"https://www.aa.com/boomerang/plugins/rt.js",3,4n,dx
"https://www.aa.com/boomerang/plugins/rt.js",3,t,369
"https://www.aa.com/dtagent_ICA23STVjpr_7000200101019.js",3,m0,e1
"https://www.aa.com/fingerprint/assets/css/v3/home-page-f907ae122f6117eaebb04b13100f1f36.css",2,cj,e2
"https://www.aa.com/fingerprint/assets/css/v3/jquery-ui-1.10-aa-b704757d7278ec3e94c4901fcff04761.css",2,bp,e1
"https://www.aa.com/fingerprint/assets/css/v4/core-3a468da0164d2bd970b6e59cd2134da7.css",2,h8,e1
"https://www.aa.com/fingerprint/assets/js/common/aa-utility-menu.min-fa40c10918ec77dd34d7fea09a3061d7.js",3,ko,e5
"https://www.aa.com/fingerprint/assets/js/common/aacom-2.0.min-128fd91a6befb86b80bf3e29be482c2f.js",3,1a8,i0
"https://www.aa.com/fingerprint/assets/js/common/aacom-device.min-ad4cd98c884dc5832ee63fd33814a1d8.js",3,jc,e4
"https://www.aa.com/fingerprint/assets/js/common/aacom-ui-1.0.0.min-964d58c882d045770904b9466d4b7546.js",3,1fy,i1
"https://www.aa.com/fingerprint/assets/js/common/browser.min-e7fbcc8ebb8da35aa38a7614067835e6.js",3,s4,i0
"https://www.aa.com/fingerprint/assets/js/common/core-2.0.0.min-8e8e8d559dcc6c015d3baff1d5d2effc.js",3,1n1,i1
"https://www.aa.com/fingerprint/assets/js/common/searches-handler.min-ea7f928e9b1dc545718559e355e57c6d.js",3,1yy,i3
"https://www.aa.com/fingerprint/assets/js/common/update-recentsearch.min-40e5c0870213221f9fb344f07b91588c.js",3,1yz,i3
"https://www.aa.com/fingerprint/assets/js/common/wa.min-099aa459a4a18967e0f3f1e514489b78.js",3,jj,e4
"https://www.aa.com/fingerprint/assets/js/legacy/plugins/aa-airport-auto-complete.min-29c7a3e83876ca0bb7ee80fdda6c7dbd.js",3,1bi,i0
"https://www.aa.com/fingerprint/assets/js/legacy/plugins/aa-cookie.min-0238a9f601e8c25162ba110de72eb1e0.js",3,11o,i0
"https://www.aa.com/fingerprint/assets/js/legacy/plugins/aa-country-lan-select.min-bad32782350bbc5e390a56b595097cdd.js",3,1ft,i1
"https://www.aa.com/fingerprint/assets/js/legacy/plugins/aa-dropdown-panel.min-e6a7b1bc12b032e0c3e2c1c47a77b5f1.js",3,1ft,i1
"https://www.aa.com/fingerprint/assets/js/legacy/plugins/aa-footer-ads.min-37ff1eab7c317c6a38e84d3f5b91d6cd.js",3,1eb,i0
"https://www.aa.com/fingerprint/assets/js/legacy/plugins/aa-textbox-message.min-c75a17ac6da16b0696ac8468a38bbe0c.js",3,11n,i0
"https://www.aa.com/fingerprint/assets/js/legacy/utilities/aa-utilities-2.1.min-5dc9c15dbf3803455522d641c379489c.js",3,134,i0
"https://www.aa.com/fingerprint/assets/js/legacy/utilities/aa-utils.min-1b844c398d3f5334a90eb78e9b8cf37c.js",3,1a1,i0
"https://www.aa.com/fingerprint/assets/js/modules/airport-lookup.min-22669fbaff50a4c6fa468ecb1ab55fdf.js",3,1nu,i1
"https://www.aa.com/fingerprint/assets/js/modules/ajax.min-f77982d8e9d53a918d807dd2cc3480f2.js",3,1jo,i1
"https://www.aa.com/fingerprint/assets/js/modules/browser-detect.min-4e02666764ae18ea233324f8848b8e8c.js",3,1it,i1
"https://www.aa.com/fingerprint/assets/js/modules/utilities.min-6f1a0375f0169236425b49946c173901.js",3,1jx,i1
"https://www.aa.com/fingerprint/assets/js/vendor/jquery-migrate.min-82294c6d1ee108414ff047c1dca37337.js",3,cl,e3
"https://www.aa.com/fingerprint/assets/js/vendor/jquery-ui.min-57c1f6d54846a22066fee60984b71646.js",3,11l,i0
"https://www.aa.com/fingerprint/assets/js/vendor/jquery.min-4f252523d4af0b478c810c2547a63e19.js",3,ea,e2
"https://www.aa.com/fingerprint/assets/js/vendor/modernizr.min-de5ba1f1e9f05c407619275f0223c690.js",3,kr,e3
"https://www.aa.com/fingerprint/assets/js/vendor/plugins/jquery.cycle.min-816016b5f7fca0ee6a0db43e73de8489.js",3,1te,i2
"https://www.aa.com/homePage.do",,,
"https://www.aa.com/scripts/swepremium.js",3,oi,e0
